record_id,institution_id,department,course_id,faculty_id,semester,course_level,class_size,attendance_rate,student_engagement_score,lms_login_frequency,learning_material_views,assignment_submission_rate,assignment_average_score,quiz_average_score,midterm_exam_score,final_exam_score,course_completion_rate,discussion_forum_activity,student_question_count,faculty_response_time_hr,feedback_submission_rate,course_evaluation_score,teaching_material_quality,lecture_delivery_score,interactive_teaching_score,practical_session_score,assessment_fairness_score,curriculum_coverage_pct,technology_usage_score,student_satisfaction_score,faculty_experience_years,faculty_training_hours,peer_review_score,classroom_interaction_rate,academic_support_sessions,learning_outcome_achievement,instructional_effectiveness_score,overall_teaching_index,teaching_quality_level
9390,INST_01,Biotechnology,COURSE_190,FAC_0375,Semester 3,Undergraduate,80,84.61,82.74,113,279,58.14,33.44,30.69,49.02,25.84,40.63,54,23,24.44,29.3,4.89,51.52,91.85,93.52,92.58,61.52,89.87,61.29,50.63,4,89.43,4.68,92.49,47,80.06,94.93,38.47,Average
12382,INST_17,Information Technology,COURSE_112,FAC_0031,Semester 3,Doctoral,116,55.76,89.98,83,20,88.93,89.99,54.83,34.48,25.85,66.94,133,1,38.08,91.68,2.62,61.23,61.38,59.81,77.98,44.2,79.51,92.36,37.63,17,63.99,1.76,92.46,27,47.58,93.92,64.03,Average
4329,INST_18,Electrical Engineering,COURSE_106,FAC_0008,Semester 1,Undergraduate,42,67.87,58.21,28,84,83,94.02,82.27,90.51,77.48,64.53,218,53,53.34,53.12,4.4,84.48,49.13,53.05,61.89,83.33,65.12,31.77,97.92,6,86.98,4.13,89.87,6,81.44,40.44,71.88,Good
448,INST_04,Physics,COURSE_155,FAC_0144,Semester 3,Undergraduate,50,56.73,50.85,72,136,46.8,51.53,73.18,82.95,40.26,98.19,246,61,41.63,76.01,1.86,43.55,57.4,79.32,94.96,54.1,96.33,56.73,48.51,4,89.86,4.26,98.38,24,40.89,97.76,83.38,Average
1792,INST_06,Physics,COURSE_119,FAC_0028,Semester 2,Postgraduate,46,99.04,55.72,130,162,68,98.16,81.12,68.89,93.68,97.37,166,14,10.76,49.19,4.08,46.55,90.48,65.15,45.93,55.32,86.89,60.48,31.4,28,7.96,4.97,24.1,30,95.23,44.16,32.26,Average
13593,INST_11,Chemistry,COURSE_063,FAC_0489,Semester 4,Undergraduate,159,67.73,51.37,89,214,48.11,33.02,42.83,33.11,70.02,90.37,153,15,64.63,24.22,4.64,80.29,91.14,92.89,93.85,69.09,67.66,86.28,91.62,26,10.01,4.92,33.49,47,49.85,99.69,43.89,Average
10200,INST_18,Computer Science,COURSE_047,FAC_0559,Semester 1,Doctoral,45,86.4,90.31,74,57,52.49,32.75,92.86,66.05,33.91,60.95,25,52,3.47,69.71,3.12,63.87,98.56,54.45,50.51,93.22,60.67,88.76,48.66,33,60.19,2.75,27.43,35,53.57,46.69,78.44,Good
11862,INST_10,Biotechnology,COURSE_170,FAC_0125,Semester 1,Undergraduate,55,63.33,83.27,148,196,68.08,84.72,33.97,82.06,77.7,40.6,119,3,69.08,69.21,3.63,79.64,90.74,45.1,35.44,48.59,99.05,48.89,47.4,20,40.18,2.51,97.65,34,58.25,51.82,39.49,Average
8511,INST_09,Physics,COURSE_072,FAC_0132,Semester 4,Undergraduate,164,78.8,46.02,90,343,52.46,49.59,83,79.28,89.22,59.11,127,5,13.46,31.81,1.83,63.73,66.02,73.64,89.02,99.04,73.05,80.77,34.81,24,74.04,4.93,98.08,18,45.13,81.38,63.6,Average
945,INST_11,Chemistry,COURSE_119,FAC_0210,Semester 4,Postgraduate,27,92.85,46.18,69,250,99.13,54.61,55.38,49.68,81.65,89.31,262,7,12.42,74.13,1.75,72.01,62.65,79.96,89.83,94.36,81.36,56.67,79.91,20,43.71,3.36,20.96,36,53.1,78.86,61.49,Average
2169,INST_05,Business Administration,COURSE_016,FAC_0360,Semester 1,Undergraduate,100,56.69,38.63,82,449,88.2,47.94,55.6,85.66,43.75,78.55,289,34,70.98,33.23,2.18,70.73,66.18,62.2,51.52,96.06,80.59,71.57,86.65,25,13.57,4.35,66.77,27,58.81,42.96,77.56,Average
5164,INST_16,Information Technology,COURSE_097,FAC_0208,Semester 2,Doctoral,135,97.54,52.9,72,291,95.44,95.89,90.17,97.57,36.09,60.13,11,68,38.48,28.87,1.29,64.44,59.34,95.69,71.78,44.53,79.61,37.43,54.43,28,75.54,2.96,49.18,40,79.88,64.11,77.16,Average
2334,INST_10,Chemistry,COURSE_078,FAC_0302,Semester 2,Postgraduate,68,60.77,84.26,137,424,94.48,39.01,45.78,99.92,25.32,45.75,200,6,65.05,29.38,3.94,49.86,73.52,60.3,69.03,66.38,85.05,79.06,75.94,33,48.15,3.53,82.67,18,68.26,69.46,85.21,Average
13251,INST_17,Physics,COURSE_024,FAC_0038,Semester 2,Doctoral,167,84.3,39.05,8,332,61.38,43.67,83.44,69.76,68.92,71.39,284,26,14.45,97.48,1.28,52.92,86.72,86.26,90.26,98.92,68.49,60.02,44.48,35,113.83,4.65,79.98,1,72.11,94.83,54.62,Average
876,INST_05,Chemistry,COURSE_090,FAC_0357,Semester 1,Doctoral,49,89.43,80.97,22,213,94.36,56.87,52.73,50.08,82.03,75.22,242,8,22.36,86.02,1.59,45.23,75.02,89.53,37.1,64.47,61.63,24.21,94.28,32,52.03,1.42,21.74,43,59.86,86.8,69.37,Average
13470,INST_05,Electronics,COURSE_195,FAC_0573,Semester 4,Postgraduate,39,58.66,71.64,133,167,55.97,41.2,31,80.45,65.11,91.18,294,51,41.56,68.6,2.7,84.48,44.99,61,98.85,48.97,72.79,49.43,48.78,26,34.91,1.68,42.8,12,90.91,62.78,60.38,Poor
5752,INST_09,Mechanical Engineering,COURSE_145,FAC_0457,Semester 2,Undergraduate,87,93.18,36.11,48,412,70.72,58.19,78.83,67.21,58,84.91,132,36,62.74,78.37,1.61,88.11,98.71,46.58,41.44,66.79,69.29,60.47,59.19,1,0.53,4.4,20.39,8,92.58,44.97,42.89,Average
6096,INST_11,Electrical Engineering,COURSE_030,FAC_0295,Semester 3,Postgraduate,81,68.71,92.88,99,377,46.26,71.16,70.89,74.77,40.48,40.03,188,80,25.18,49.66,3.73,91.39,98.08,91.21,58.87,61.05,81.48,84.82,74.57,18,46.45,3.12,35.79,5,51.32,97.14,37.41,Average
14179,INST_12,Information Technology,COURSE_098,FAC_0296,Semester 1,Undergraduate,88,68.52,57.62,146,23,65.29,84.12,41.84,39.38,91.94,88.22,127,58,13.14,48.17,2.91,46.82,44.8,44.23,72.43,50.24,94.42,77.38,38.1,1,108.97,4.24,20.72,30,76.6,95.39,60.26,Poor
1316,INST_20,Chemistry,COURSE_124,FAC_0571,Semester 1,Postgraduate,72,89.07,76.12,103,22,98.52,89.71,97.14,75.31,54.21,70.42,154,29,6.66,70.45,4.17,80.79,41.95,45.48,62.97,93.91,61.66,85.93,37.16,17,24.9,2.25,22.23,9,98.51,44.28,55.79,Good
10521,INST_12,Computer Science,COURSE_106,FAC_0103,Semester 3,Doctoral,132,68.41,72.84,115,14,58.9,75.8,65.07,53.21,55.89,78.8,281,30,41.75,72.62,3.69,80.84,89.36,86.69,36.41,91.08,91.34,81.56,30.94,15,31.27,2.02,48.47,12,61.84,52.46,70.2,Average
8138,INST_01,Biotechnology,COURSE_041,FAC_0275,Semester 3,Doctoral,136,66.71,52.32,75,307,70.18,79.17,94.69,53.66,47.24,58.1,238,68,24.17,43.38,3.17,41.81,51.3,53.74,39.28,58.21,76.16,86.07,36.4,24,27.69,1.67,75.61,12,70.81,52.1,97.24,Average
9071,INST_10,Economics,COURSE_066,FAC_0387,Semester 4,Doctoral,152,70.6,67.57,98,445,79.04,34.02,30.52,32.54,62.17,89.79,225,59,17.77,64.52,2.54,98.41,99.27,78.92,70.44,95.03,85.5,74.68,44.89,28,102.78,2.79,77.5,9,74.64,68.34,45.9,Poor
4844,INST_11,Civil Engineering,COURSE_013,FAC_0559,Semester 2,Postgraduate,162,64.94,79.37,50,293,82.76,48.61,92.74,73.12,96.32,49.26,58,23,43.7,70.11,2.33,87.92,40.99,96.18,65.53,48.5,83,30.97,61.49,8,62.99,3.27,80.82,44,45.49,65.67,55.61,Good
12038,INST_13,Computer Science,COURSE_167,FAC_0305,Semester 1,Doctoral,108,87.86,52.99,141,369,90.67,37.14,82.92,60.21,66.76,75.93,16,25,53.09,21.68,1.3,45.86,43.46,62.07,37.85,52.98,70.32,71.22,71.19,30,3.32,2.38,30.71,6,46.85,36.09,36.07,Average
13939,INST_15,Electrical Engineering,COURSE_072,FAC_0126,Semester 4,Doctoral,99,91.09,68.96,37,490,75.15,60.98,70.42,26.17,52.66,78.69,210,32,68.76,32.19,2.31,48.92,85.43,77.07,73.83,50.61,98.5,65.93,74.01,30,70.99,3.79,20.41,40,66.16,89.44,55.51,Average
6561,INST_02,Physics,COURSE_055,FAC_0193,Semester 4,Undergraduate,42,64.08,35.62,110,433,64.72,59.63,43.02,67.44,90.2,69.66,207,66,39.36,55.79,2.07,58.15,70.32,68.27,67.39,88.53,94.22,36.07,40.68,6,79.39,1.27,21.38,36,89.24,96.41,47.73,Average
12812,INST_12,Business Administration,COURSE_002,FAC_0504,Semester 4,Doctoral,90,81.64,76.92,78,296,53.65,68.71,56.29,72.89,38.75,57.99,127,42,50.84,52.33,1.93,83.52,76.43,76.13,76.75,79.43,77.62,48.92,87.39,31,109.32,1.11,67.92,33,89.83,66.07,87.45,Average
3990,INST_11,Biotechnology,COURSE_016,FAC_0154,Semester 1,Undergraduate,163,66.31,77.53,15,351,53.36,75.36,44.11,30.42,71.72,82.33,44,22,42.19,54.61,3.15,58.26,84.07,45.19,77.04,85.26,67.63,92.96,74.72,26,7.87,2.94,28.52,8,86.13,47.34,34.23,Average
3860,INST_01,Physics,COURSE_081,FAC_0294,Semester 1,Undergraduate,102,87.64,72.11,107,435,90.15,53.7,36.08,87.83,42.54,55.31,61,5,56.83,48.05,1.45,62.11,60.17,51.68,79.64,59.47,77.15,95.41,62.24,33,19.09,2.4,43.66,30,93,58.61,88.47,Average
10605,INST_12,Chemistry,COURSE_155,FAC_0428,Semester 4,Undergraduate,92,62.38,74.1,68,316,72.72,74.8,93.41,97.95,96.68,54.75,243,23,45.43,99.14,1.37,84.82,71.58,67.85,88.24,61.1,80.41,69.45,54.04,10,22.09,1.98,27.98,4,95.98,80,50.13,Good
5737,INST_18,Electronics,COURSE_003,FAC_0132,Semester 2,Undergraduate,153,57.59,77.62,24,69,96.89,73.8,54.3,72.65,29.5,88.35,264,38,27.86,60.05,4.1,66.63,98.44,66.4,45.42,59.32,91.02,70.99,59.16,21,77.14,2.07,62.44,8,60.81,92.54,95.07,Average
13817,INST_06,Biotechnology,COURSE_055,FAC_0300,Semester 3,Doctoral,160,94.32,38.61,17,197,55.53,84.83,41.2,50.83,46.71,49.77,167,11,66.11,52.21,2.29,44.36,67.93,58.67,42.29,70.86,75.63,57.35,98.71,25,38.86,2.88,43.57,24,69.01,36.58,80.69,Average
2901,INST_09,Mathematics,COURSE_064,FAC_0460,Semester 1,Doctoral,20,74.84,86.54,93,206,54.15,82.44,66.69,43.24,82.48,63.38,251,63,3.98,42.17,2.1,85.76,85.98,48.44,93.66,87.19,63.14,93.25,81.57,27,81.48,3.23,52,50,86.13,86.59,35.48,Good
2134,INST_16,Electrical Engineering,COURSE_102,FAC_0198,Semester 1,Undergraduate,131,80.66,71.11,14,14,96.37,98.24,55.8,37,85.99,43.38,95,64,11.18,63.47,4.24,47.67,45.25,87.69,33.71,88.85,61.09,71.05,50.76,16,81.47,3.63,61.7,28,88.63,49.66,89.91,Good
10006,INST_10,Electronics,COURSE_105,FAC_0254,Semester 1,Undergraduate,85,60.71,84.23,106,460,69.66,97.47,48.44,84.47,37.32,47.61,9,21,18.14,39.68,4.51,85.21,50.95,42.15,68.67,72.92,90.85,32.03,93.07,23,66.23,1.97,84.98,2,78.42,61.93,81.11,Good
6408,INST_14,Computer Science,COURSE_191,FAC_0185,Semester 4,Undergraduate,170,78.3,68.12,146,410,95.94,39.77,66.57,57.17,64.94,47.79,132,12,54.51,63.93,3.65,95.75,61.74,55.94,32.73,52.66,90.58,54.91,86.55,13,31.75,4.69,49.59,13,99.19,73.93,75.94,Average
1627,INST_19,Mathematics,COURSE_198,FAC_0437,Semester 1,Postgraduate,147,68.11,69.7,101,228,73.39,36.21,93.49,63.19,63.38,47.09,99,64,38.53,95.51,3,68.54,81.99,62.06,53.36,87.44,75.35,20.57,93.3,22,74.64,1.33,80.7,31,84.47,52.75,57.71,Average
14335,INST_16,Biotechnology,COURSE_154,FAC_0052,Semester 4,Postgraduate,81,59.28,41.59,112,103,96.83,87.19,31.71,55.94,99.98,46.73,173,16,50.54,96.16,4.54,50.01,94.85,45.83,58.91,63.96,63.41,25.28,37.03,27,12.6,3.98,78.24,1,74.02,45.22,77.43,Good
10932,INST_20,Physics,COURSE_078,FAC_0444,Semester 4,Postgraduate,46,67.46,66.55,55,152,89.31,52.24,74.68,49.86,55.62,53.36,87,29,66.96,37.74,3.77,74.59,54.86,52.17,70.68,63.89,70.06,73.37,55.15,18,66.83,1.33,72.82,39,40.97,83.62,84.1,Average
1238,INST_18,Economics,COURSE_119,FAC_0482,Semester 4,Doctoral,117,72.15,62.65,16,22,61.08,76.02,36.36,47.34,97.84,44.51,294,40,66.94,62.62,2.8,80.94,72.41,84.66,95.03,62.25,87,22.86,32.21,17,51.17,4.63,84,9,98.61,78.21,71.35,Good
11497,INST_13,Computer Science,COURSE_001,FAC_0308,Semester 4,Undergraduate,125,89.01,87.96,56,113,54.8,54.24,94.26,54.53,70.35,89,163,57,14.05,71.73,2.77,60.94,64.52,80.89,85.86,46.04,81.96,35.97,40.09,1,72.31,3.79,53.71,4,55.55,52.52,96.09,Good
5776,INST_16,Physics,COURSE_025,FAC_0396,Semester 1,Postgraduate,133,97.54,72.57,70,415,83.07,62.69,58.36,96.46,50.89,51.29,37,35,26.44,92.65,3.86,97.86,67.97,45.92,84.7,51,65.83,22.09,82.2,11,52.12,3.56,26.86,24,78.43,37.97,61.43,Good
9884,INST_17,Civil Engineering,COURSE_132,FAC_0547,Semester 2,Postgraduate,130,83.36,43.31,148,87,59.47,81.92,93.04,86.5,74.25,66.98,219,32,61.89,43.84,1.66,69.8,73.32,81.02,32.16,90.27,87.64,87.29,30.09,29,18.01,4.5,61.81,0,55.87,46.88,70.2,Average
9516,INST_11,Computer Science,COURSE_011,FAC_0564,Semester 2,Undergraduate,132,70.43,66.07,33,359,69.83,46.64,38.67,73.93,98.74,77.59,10,46,34.03,30.55,1.95,76.12,91.16,45.57,40.9,41.1,80.14,98.88,77.61,30,29.91,2.02,81.03,22,51.05,56.46,38.82,Average
11138,INST_01,Civil Engineering,COURSE_054,FAC_0304,Semester 4,Doctoral,147,92.1,37.48,67,431,45.21,80.96,79.46,62,35.68,53.96,102,20,7.78,40.29,4.7,52.94,56.6,84.01,82.99,49.86,74.84,57.66,58.96,20,105.09,3.15,94.62,27,61.85,86.02,93.91,Good
10964,INST_03,Biotechnology,COURSE_044,FAC_0598,Semester 2,Postgraduate,166,69.82,60.78,35,25,94.97,37.3,93.08,87.57,87.81,59.1,42,79,27.33,91.92,4.56,70.86,49.07,40.85,30.44,52.79,94.75,95.69,40.58,5,34.25,4.64,85.16,27,90.66,94.69,44,Average
7151,INST_01,Electronics,COURSE_023,FAC_0091,Semester 2,Undergraduate,134,93.72,63.35,37,55,46.29,37.8,76.55,27.91,60.42,97.74,140,36,10.79,83.42,3.07,89.97,63.98,76.05,72.55,66.72,68.02,29.13,44.19,11,55.87,3.78,35.28,8,82.75,56.23,74.1,Average
8986,INST_16,Information Technology,COURSE_093,FAC_0174,Semester 3,Postgraduate,118,91.57,79.02,44,465,76.75,90.66,44.85,69.79,40.96,66.14,195,5,29.74,65.83,3.74,57.19,41.49,37.43,43.81,80.69,83.31,92.39,32.71,6,93.78,2.14,31.67,29,65.31,56.89,86.58,Average
1356,INST_09,Economics,COURSE_051,FAC_0211,Semester 4,Doctoral,40,98.18,81.95,77,392,66.83,42.94,50.63,42.08,31.48,72.43,21,72,4.3,90.9,3.64,96.85,44.72,56.86,89.83,81.93,90.26,83.85,52.7,23,7.83,1.05,94.5,13,72.92,52.65,53.15,Average
980,INST_11,Economics,COURSE_160,FAC_0434,Semester 1,Postgraduate,166,75.29,48.54,52,56,58.47,72.75,97.54,26.71,98.22,79.28,88,45,54.58,58.24,4.03,76.38,63.16,47.79,32.87,80.18,65.68,83.92,41.49,34,88.47,4.39,34.4,11,88.71,96.58,95.73,Good
7253,INST_16,Computer Science,COURSE_073,FAC_0410,Semester 4,Postgraduate,111,91.6,99.33,142,449,52.49,79.91,45.75,25.49,88.3,92.47,18,20,34.67,41.39,4.94,67.21,93.45,37.13,38.66,84.98,74.43,37.88,75.83,31,117.7,2.1,47.9,23,76.07,80.34,61.22,Good
1098,INST_03,Electronics,COURSE_074,FAC_0192,Semester 1,Undergraduate,106,72.34,80.17,80,38,54.51,74.12,71.64,35.52,97.26,83.02,253,49,26.74,64.56,4.01,72.16,74.07,66.01,42.25,66.5,71.64,69.53,95.53,23,98.06,4.99,72.65,41,51.81,65.33,43.24,Good
4685,INST_16,Information Technology,COURSE_059,FAC_0437,Semester 3,Undergraduate,120,82.2,48.94,137,255,54.82,67.58,75.77,42.78,90.22,82.16,135,37,25.31,89.62,2.58,89.33,46.49,89.49,82.71,57.28,95.41,92.66,42.08,21,87.66,3.7,98.92,19,52.33,53.18,34.7,Average
1019,INST_09,Electronics,COURSE_016,FAC_0218,Semester 1,Undergraduate,37,96.8,96.08,76,412,94.96,86.34,66.32,43.34,29.76,78.45,66,74,8.41,93.45,3.68,73.26,76.8,94.24,41.23,55.39,74.63,26.54,98.23,1,32.25,2.75,42.65,48,40.75,86.08,98.72,Good
5861,INST_19,Economics,COURSE_075,FAC_0057,Semester 1,Doctoral,61,55.75,54.47,119,395,80.12,83.52,68.63,26.47,45.71,79.48,188,2,41.14,67.08,4.32,56.08,87.98,50.04,51.35,52.38,92.69,74.56,83.5,25,47.35,1.78,96.56,6,40.84,86.76,76.49,Good
13253,INST_18,Business Administration,COURSE_097,FAC_0069,Semester 1,Doctoral,125,97.01,49.94,81,476,50.41,39.03,39.52,62.97,83.48,90.48,219,36,16.25,68.66,4.49,77.39,93.32,85.74,65.99,68.18,75.31,94.77,70.04,5,46.43,4.8,54.64,15,51.27,36.12,91.51,Average
1706,INST_08,Computer Science,COURSE_027,FAC_0509,Semester 3,Undergraduate,143,96.53,82.25,113,26,85.51,34.15,61.73,39.99,55.06,80.3,235,39,53.71,61.46,3.1,93.42,98.87,66.08,79.97,80.97,91.53,92.85,77.18,35,9.88,2.25,73.37,6,66.6,68.5,34.09,Good
3108,INST_10,Computer Science,COURSE_006,FAC_0430,Semester 2,Doctoral,79,99.02,90.95,141,52,74.27,63.32,36.36,80.77,27.43,93.27,128,70,14.41,24.85,2.18,73.6,90.11,55.15,38.01,79.08,84.92,38.28,50,6,98.07,2.53,47.23,26,75.84,45.85,48.6,Average
9301,INST_10,Economics,COURSE_044,FAC_0599,Semester 1,Postgraduate,108,76.18,39.97,135,387,54.37,55.12,54.82,55.74,34.96,77.97,177,57,33.7,82.91,1.27,43.96,80.52,73.81,47.79,59.05,84.27,75.12,54.24,11,104.15,3,79.57,36,98.16,47.53,50.4,Average
7863,INST_12,Computer Science,COURSE_096,FAC_0194,Semester 2,Undergraduate,85,81.89,43.08,128,370,50.17,87.29,69.05,45.34,85.03,74.96,252,3,11.1,28.89,3.44,60.95,45.61,81.9,51.46,46.05,61.18,32.14,46.19,18,15,1.79,33.96,2,50.43,54.72,95.92,Average
13350,INST_01,Electronics,COURSE_156,FAC_0418,Semester 1,Postgraduate,51,74.72,39.81,122,105,45.46,75.22,94.83,33.84,29.22,60.48,166,12,58.89,26.41,3.73,97.15,97.71,67.43,62.05,42.21,66.6,61.53,54.4,28,95.59,1.63,94.31,19,67.84,79.55,81.73,Average
10769,INST_13,Chemistry,COURSE_063,FAC_0408,Semester 2,Doctoral,154,78.8,62.72,110,381,90.33,63.6,51.81,30.21,95.8,70.32,295,5,62.18,94.47,3.11,53.02,98.4,57.62,36.95,71.11,66.89,65.06,63.62,34,110.74,4.33,26.79,46,55.15,75.08,77.83,Average
2076,INST_09,Biotechnology,COURSE_040,FAC_0509,Semester 1,Doctoral,124,68.84,87.06,82,385,67.73,46.39,48.33,75.46,76.6,49.48,285,42,66.88,65.32,2.87,94.81,44.27,55.61,85.47,94.7,87.33,56.45,85.55,7,109.67,4.62,61.07,33,81.51,53,80.86,Good
9895,INST_13,Computer Science,COURSE_076,FAC_0186,Semester 4,Undergraduate,77,79.93,80.13,106,111,96.36,37.31,56.67,65.95,36.85,83.5,27,16,48.48,45.58,4.55,50.77,57.72,76.49,37.41,98.99,72.69,33.48,57.63,26,68.01,2.62,38.16,20,85.09,91.47,89.31,Average
5628,INST_19,Economics,COURSE_195,FAC_0318,Semester 4,Doctoral,58,59.31,79.88,133,58,76.66,35.43,39.63,93.71,80.95,80.24,295,27,6.65,32.52,2.16,56.21,74.56,81.49,68.06,60.98,66.94,41.52,69.79,28,109.91,1.56,92.25,26,57.61,47.27,33.17,Average
3211,INST_18,Electronics,COURSE_132,FAC_0485,Semester 2,Doctoral,164,70.13,39.02,53,470,47.1,94.09,83.58,67.62,39.95,80.76,72,63,7.54,99.53,1.47,85.81,57.76,39.35,91.3,76.36,86.06,48.17,55.98,3,108.62,2.28,94.37,47,55.11,75.42,32.09,Average
13020,INST_08,Computer Science,COURSE_002,FAC_0405,Semester 2,Doctoral,64,93.81,40.55,69,158,80.4,38.38,89.49,36.2,79.19,81.69,171,62,50.59,33.17,3.77,89.07,50.07,93.73,38.6,50.88,61.87,92.22,96.79,3,70.02,2.21,32.82,27,94.77,77.19,80.86,Average
6088,INST_14,Economics,COURSE_096,FAC_0485,Semester 1,Postgraduate,53,87.26,68.43,128,418,97.01,80.54,53.57,79.17,39.73,90.83,1,78,11.09,51.93,2.33,99.07,89.73,37.78,55.89,70.28,83.22,81.41,98.45,30,35.93,2.98,64.85,45,58.59,83.3,98.49,Good
10837,INST_15,Economics,COURSE_028,FAC_0038,Semester 1,Undergraduate,180,58.68,76.29,142,348,56.99,39.13,40.72,36.83,46.06,67.12,128,80,4.7,69.16,1.45,72.83,89.48,76.7,67.41,51.37,98.72,88.5,42.82,26,38.01,3.74,51.51,36,47.83,74.35,61.5,Poor
10568,INST_12,Biotechnology,COURSE_048,FAC_0429,Semester 4,Undergraduate,80,69.77,61.77,123,326,48.16,96.9,64.58,77.58,99.53,44.65,178,26,27.55,26.24,4.9,70.73,72.38,37.4,70.62,94.09,99.66,78.86,54.45,10,72.67,3.42,21.2,4,83.03,81.54,40.94,Good
2068,INST_10,Mechanical Engineering,COURSE_122,FAC_0360,Semester 3,Postgraduate,142,72.95,81.25,106,453,71.6,64.15,30.55,94.85,68.3,94.77,155,26,57.57,44.46,1.52,48.66,72.84,40.65,58.43,86.49,88.01,99.82,63.83,33,69.15,1.53,52.94,16,48.89,73.79,75.26,Average
1509,INST_15,Information Technology,COURSE_015,FAC_0048,Semester 4,Postgraduate,31,56.34,88.45,146,271,58.41,42.53,85.68,42.94,48.17,87.81,296,13,9.68,85.92,2.52,63.59,80.55,93.11,41.11,48.1,89.56,27.09,79.66,22,112,4.08,46.76,27,72.1,76.29,93.29,Average
10884,INST_07,Civil Engineering,COURSE_055,FAC_0320,Semester 3,Postgraduate,34,96.86,74.31,76,420,93.93,64.77,77.8,26.24,89.6,95.14,251,33,70.91,48.11,1.63,61.14,44.58,50.3,64.57,91.14,66.01,86.98,92.51,13,17.14,3.63,58.93,16,41.11,78.98,35.23,Average
9996,INST_02,Electronics,COURSE_062,FAC_0061,Semester 1,Undergraduate,43,92.53,45.54,128,442,65.67,72.13,76.67,95.74,65.35,63.07,268,33,3.28,67.29,4.35,78.21,84.28,40.18,49.87,40.24,69.56,28.94,31.81,20,91.77,3.68,80.77,12,94.58,79.95,66.69,Average
9262,INST_20,Mechanical Engineering,COURSE_075,FAC_0119,Semester 3,Postgraduate,179,67.84,98.86,5,337,57.32,56.86,68.67,92.09,41.55,50.69,168,21,26.5,89.09,1.27,99.6,95.85,93.23,37.08,61.19,90.4,66.39,38.59,5,71.4,3.75,82.28,4,66.4,57.61,43.53,Average
1567,INST_20,Physics,COURSE_110,FAC_0495,Semester 3,Postgraduate,150,74.33,60.97,30,123,55.11,49.55,40.49,75.49,85.88,48.77,131,19,66.63,71.68,2.04,83.71,79.4,35.19,50.29,46.29,73.22,48.33,58.26,35,36.21,2.48,71.2,46,80.82,71.28,81.57,Average
8169,INST_06,Computer Science,COURSE_033,FAC_0056,Semester 3,Doctoral,30,76.52,37.06,138,207,73.07,83.25,47.79,75.49,74.82,49.3,22,34,41.64,74.78,3.36,51.7,53.99,39.01,46.33,81.26,69.08,92.29,80.4,11,97.22,3.76,68.03,49,93.97,98.02,44.22,Good
6693,INST_19,Chemistry,COURSE_136,FAC_0519,Semester 1,Doctoral,147,78.74,61.04,100,27,64.39,70.15,76.39,75.31,70.67,63.54,238,15,53.83,99.71,2.28,45.02,75.53,90.79,44.55,46.12,87.89,34.75,61.49,5,85.71,1.35,50.35,16,76.96,49.24,94.7,Good
1603,INST_10,Information Technology,COURSE_046,FAC_0284,Semester 3,Doctoral,75,71.39,92.14,148,354,66.52,66.26,63.18,41.42,47.41,97.53,148,59,57.89,55.6,4.19,50.81,64.69,81.23,42.5,96.06,87.28,72.48,79.82,27,10.61,3.92,74.97,27,99.03,96.69,50.8,Average
322,INST_04,Electronics,COURSE_057,FAC_0322,Semester 2,Doctoral,63,82.47,55.73,41,386,47.85,79.35,32.97,46.39,33.76,64.82,36,8,64.41,30.39,1.5,60.88,65.92,82.96,53.49,78.88,95.99,94.5,69.91,22,26.46,4.01,25.72,50,40.58,52.9,94.01,Average
9459,INST_09,Civil Engineering,COURSE_189,FAC_0505,Semester 4,Doctoral,39,82.48,57.53,139,32,89.87,54.93,54.92,30.18,59.69,94.09,178,28,19.41,50.29,3.75,97.7,80.37,78.93,36.08,98.81,95.81,50.79,54.41,31,83.68,3.33,36.09,24,64.11,39.28,62.75,Average
10473,INST_13,Civil Engineering,COURSE_007,FAC_0252,Semester 1,Doctoral,94,68.33,98.01,63,137,77.28,51.99,96.38,42.37,62.06,65.03,151,42,42.63,62.64,1.33,93.12,62.94,78.81,78.11,76.66,80.17,37.49,34.18,26,94.29,3.16,43.64,3,68.73,51.64,83.67,Average
3464,INST_02,Computer Science,COURSE_136,FAC_0525,Semester 2,Undergraduate,48,97.95,64.46,80,253,55.52,31.9,79.2,28.71,43.96,87.73,46,29,62.78,73.53,4.26,54.45,58.34,78,98.83,78.49,88.88,74.66,82.33,17,82.2,2.31,76.71,13,58.02,70.73,40.6,Average
14983,INST_19,Chemistry,COURSE_062,FAC_0387,Semester 1,Undergraduate,59,81.98,81.43,40,138,45.4,60.12,86.48,58.98,28.57,68.44,223,80,26.85,83.03,2.58,91.25,91.56,48.75,73.28,54.86,84.05,91.67,92.22,17,81.64,1.36,50.66,34,95.56,60.01,92.93,Good
6336,INST_04,Business Administration,COURSE_007,FAC_0357,Semester 1,Undergraduate,168,57.38,62.67,62,330,75.67,37.62,50.24,69.76,73.7,61.09,164,22,45.15,75.66,3.85,94.56,65.81,52.74,97.8,72.2,71.43,43.19,61.61,4,88.25,3.93,25.9,38,95.99,84.36,53.48,Average
10256,INST_05,Civil Engineering,COURSE_189,FAC_0523,Semester 4,Doctoral,77,82.04,39.18,64,237,56.23,69.6,93.61,31.4,55.85,59.93,221,57,71.37,82.99,3.62,81.87,89.71,35.08,54.46,98.18,71.21,45.36,74.34,15,24.29,2.38,93.95,10,61.29,45.4,69.3,Average
