Teacher_ID,Institution_ID,Department,Academic_Rank,Qualification_Level,Employment_Type,Assessment_Year,Assessment_Round,Years_of_Experience,Teaching_Effectiveness_Score,Student_Feedback_Score,Peer_Evaluation_Score,Course_Completion_Rate,Curriculum_Innovation_Score,Teaching_Load_Hours_Per_Week,Digital_Teaching_Adoption_Score,Student_Outcome_Improvement_Score,Publication_Count,Journal_Quality_Index,Citation_Count,Research_Project_Count,Research_Funding_Amount_Lakh,Patent_Count,Conference_Presentation_Count,Research_Collaboration_Index,Training_Hours_Completed,Workshop_Participation_Count,Certification_Count,Faculty_Development_Program_Score,Lifelong_Learning_Index,Mentoring_Score,Academic_Service_Score,Committee_Participation_Count,Leadership_Role_Count,Institutional_Contribution_Score,Community_Extension_Score,Ethics_Compliance_Score,Punctuality_Score,Assessment_Submission_Timeliness,Absenteeism_Days,Student_Grievance_Count,Administrative_Compliance_Score,Teaching_Dimension_Score,Research_Dimension_Score,Professional_Development_Dimension_Score,Institutional_Service_Dimension_Score,Ethics_Reliability_Dimension_Score,Development_Quality_Score,Low_Development_Score,Moderate_Development_Score,High_Development_Score,Development_Quality_Level
TCH_01680,University_B,Physics,Assistant Professor,PhD,Permanent,2022,Round_2,1,86.09,74.61,82.84,84.35,82.87,17.69,82.07,81.79,12,62.96,89.0,2,5.98,0,6,78.69,88.01,6,0,81.89,75.59,84.58,72.07,2,2,87.71,78.54,85.71,78.37,69.85,4,3,80.53,67.65,33.98,49.92,53.42,63.67,57.94,0.202,0.518,0.0,Moderate_Development
TCH_01681,University_D,Computer Science,Associate Professor,PhD,Permanent,2022,Round_2,11,84.72,79.67,80.68,85.2,78.65,22.55,86.33,74.47,11,92.57,100.0,1,13.85,0,7,77.78,73.26,5,4,71.81,73.53,73.2,74.97,9,1,79.18,65.26,82.88,86.08,77.84,2,0,81.88,66.6,40.71,50.21,51.75,73.7,57.06,0.227,0.482,0.0,Moderate_Development
TCH_01682,University_B,Management,Lecturer,Postdoctoral,Contract,2023,Round_1,3,83.39,93.52,84.69,90.2,81.18,13.19,74.77,74.45,10,78.38,90.0,5,22.43,0,5,87.0,65.7,4,0,76.96,78.03,91.75,72.84,7,4,88.5,75.26,89.21,82.53,80.26,6,5,83.9,70.18,42.35,42.56,63.52,66.49,58.93,0.173,0.557,0.0,Moderate_Development
TCH_01683,University_E,Mechanical Engineering,Assistant Professor,Master,Contract,2021,Round_1,9,80.01,85.04,84.6,90.99,71.71,10.93,78.18,85.83,13,76.49,95.0,5,20.38,1,8,84.54,54.29,7,3,90.65,100.0,92.25,68.51,2,3,89.85,78.03,95.81,73.41,90.81,3,2,85.27,69.1,47.28,61.77,56.65,76.95,62.69,0.066,0.708,0.0,Moderate_Development
TCH_01684,University_A,Management,Assistant Professor,PhD,Visiting,2023,Round_2,2,80.68,76.49,77.95,83.29,72.44,15.56,83.07,86.08,5,66.69,77.0,0,8.12,1,5,74.87,61.27,4,2,75.54,73.02,74.84,86.1,6,1,72.28,74.77,80.3,84.75,84.9,4,3,80.66,64.11,29.55,43.73,52.16,68.19,51.09,0.397,0.244,0.0,Improvement_Oriented
TCH_01685,University_G,English,Professor,Postdoctoral,Permanent,2024,Round_1,16,92.21,85.5,86.98,88.1,81.27,4.92,77.69,98.06,19,73.96,136.0,5,5.78,2,4,77.49,95.71,8,1,96.68,83.36,84.01,88.67,2,2,91.95,85.15,91.88,94.63,100.0,3,5,82.28,77.11,48.38,62.98,59.85,80.0,67.32,0.0,0.893,0.077,Moderate_Development
TCH_01686,University_A,Mechanical Engineering,Professor,PhD,Contract,2022,Round_1,25,88.14,87.49,76.36,91.53,82.11,21.27,79.06,71.12,13,66.54,126.0,1,6.54,0,5,76.84,50.78,6,2,85.96,80.49,92.67,87.25,1,1,83.6,65.72,95.42,77.99,76.46,3,3,78.05,68.58,36.28,50.12,52.79,70.15,54.46,0.301,0.378,0.0,Improvement_Oriented
TCH_01687,University_D,Mathematics,Associate Professor,PhD,Permanent,2022,Round_2,15,77.92,87.45,82.46,84.56,78.18,16.48,72.98,81.05,16,68.24,108.0,2,15.96,2,1,81.77,49.9,6,3,77.8,87.42,82.3,76.06,3,1,86.43,81.84,85.49,87.99,87.46,4,3,79.96,65.21,41.59,51.68,53.57,72.2,55.04,0.285,0.402,0.0,Moderate_Development
TCH_01688,University_A,Computer Science,Associate Professor,Postdoctoral,Permanent,2025,Round_2,15,66.2,70.06,56.58,72.91,45.16,20.63,51.39,51.53,2,47.56,44.0,0,5.01,0,1,53.54,31.27,3,0,53.81,55.31,51.46,56.77,2,2,39.76,49.85,69.34,59.87,70.32,10,5,59.68,27.63,13.03,20.71,22.78,36.6,24.51,1.0,0.0,0.0,Improvement_Oriented
TCH_01689,University_A,Computer Science,Associate Professor,Master,Permanent,2024,Round_1,4,83.93,75.86,83.37,70.92,71.9,14.94,75.35,70.88,9,76.03,70.0,3,12.36,0,6,60.14,59.18,7,3,83.42,69.99,72.15,78.51,2,1,67.75,70.12,84.88,80.63,77.02,3,2,86.59,56.51,32.28,50.8,43.28,70.33,43.36,0.618,0.0,0.0,Improvement_Oriented
TCH_01690,University_D,Chemistry,Assistant Professor,Postdoctoral,Permanent,2022,Round_1,2,75.81,90.18,88.67,91.74,92.48,5.63,85.96,80.73,9,82.01,86.0,5,17.16,0,2,80.23,61.06,3,1,81.85,90.12,87.55,88.38,3,2,74.08,87.09,90.42,94.49,86.57,3,1,82.76,75.26,37.91,47.78,57.74,80.67,59.65,0.153,0.586,0.0,Moderate_Development
TCH_01691,University_F,Management,Assistant Professor,PhD,Permanent,2021,Round_2,6,63.51,69.29,65.31,81.53,58.75,16.54,70.69,66.57,7,61.74,49.0,2,15.3,1,9,55.18,54.32,3,0,61.19,65.53,77.99,61.23,2,0,54.1,63.78,85.78,75.02,66.47,7,5,69.15,42.97,30.13,30.36,34.13,52.94,35.41,0.845,0.0,0.0,Improvement_Oriented
TCH_01692,University_F,Electrical Engineering,Professor,Master,Permanent,2021,Round_2,20,75.49,87.56,,91.91,93.84,9.51,67.83,79.31,12,73.64,96.0,4,31.91,2,3,78.81,,5,2,74.77,89.72,85.55,70.05,6,1,82.57,73.23,86.0,88.46,89.27,2,0,80.02,64.16,45.39,49.42,53.25,79.02,56.61,0.24,0.464,0.0,Moderate_Development
TCH_01693,University_D,Computer Science,Assistant Professor,PhD,Permanent,2021,Round_1,3,98.79,84.01,91.93,90.05,75.67,22.0,98.28,97.45,13,97.93,89.0,5,12.37,3,10,85.93,75.67,5,3,95.61,94.21,100.0,85.73,10,2,86.01,73.75,91.42,98.53,98.8,3,3,97.76,84.28,54.74,62.57,67.73,87.96,73.12,0.0,0.875,0.271,Moderate_Development
TCH_01694,University_G,Computer Science,Assistant Professor,PhD,Permanent,2023,Round_1,8,84.77,76.76,85.21,87.87,80.97,13.87,79.35,80.1,4,85.1,83.0,5,23.33,1,4,75.18,61.84,7,2,70.49,84.24,82.45,73.93,7,2,81.55,88.63,93.29,85.98,83.91,4,4,74.85,68.21,39.55,49.88,59.18,71.04,56.03,0.256,0.441,0.0,Moderate_Development
TCH_01695,University_E,English,Professor,Postdoctoral,Permanent,2022,Round_2,20,88.97,78.26,83.48,95.48,91.89,13.73,79.25,88.85,15,95.51,125.0,3,21.69,1,7,94.97,67.92,6,2,94.97,100.0,87.15,97.74,3,1,81.6,89.25,98.29,77.0,96.49,3,1,89.37,76.14,53.52,62.19,60.61,83.64,68.15,0.0,0.926,0.105,Moderate_Development
TCH_01696,University_H,Biotechnology,Associate Professor,Master,Permanent,2023,Round_2,13,86.78,79.8,75.13,89.59,74.17,23.01,74.67,71.81,12,91.69,79.0,5,13.45,1,5,92.52,58.99,8,4,59.83,72.47,65.06,67.8,4,4,99.19,75.52,85.12,84.64,76.29,4,1,77.13,62.85,46.03,47.66,54.82,69.31,61.83,0.091,0.673,0.0,Moderate_Development
TCH_01697,University_A,English,Lecturer,PhD,Visiting,2022,Round_1,1,77.04,77.35,74.7,84.47,60.21,16.76,76.74,69.4,7,74.47,61.0,1,9.83,1,8,91.62,93.35,5,1,73.06,78.67,76.28,76.35,8,2,71.44,64.11,93.99,83.63,75.37,2,4,76.36,54.79,36.74,49.82,51.36,69.95,54.22,0.308,0.369,0.0,Improvement_Oriented
TCH_01698,University_G,English,Lecturer,PhD,Contract,2025,Round_1,1,89.91,86.35,95.58,89.06,89.38,17.16,100.0,86.81,9,92.29,80.0,7,25.34,1,9,87.91,72.04,5,4,89.64,88.43,84.1,86.73,7,3,84.35,96.37,95.37,92.66,92.68,4,4,89.06,83.53,50.85,60.24,66.82,81.1,65.27,0.0,0.811,0.009,Moderate_Development
TCH_01699,University_A,Biotechnology,Associate Professor,PhD,Contract,2023,Round_2,14,75.74,81.91,85.34,89.9,69.42,19.15,58.37,64.1,15,84.5,106.0,5,7.21,2,4,74.02,79.11,5,2,82.99,85.57,80.99,72.6,2,0,76.48,66.64,84.27,86.08,68.78,5,1,83.42,56.45,45.51,54.55,43.9,67.97,57.01,0.228,0.48,0.0,Moderate_Development
TCH_01700,University_H,Management,Associate Professor,PhD,Permanent,2022,Round_2,13,82.65,78.84,68.6,84.97,68.76,6.41,66.75,66.29,9,68.52,83.0,2,18.96,2,3,69.72,57.83,4,2,68.15,82.38,73.88,69.62,6,2,83.19,,87.45,79.52,80.81,6,1,80.86,53.78,36.1,43.85,49.4,69.56,52.02,0.371,0.281,0.0,Improvement_Oriented
TCH_01701,University_E,Mechanical Engineering,Assistant Professor,PhD,Permanent,2025,Round_2,1,90.8,90.8,91.63,91.35,85.13,16.55,87.17,80.81,10,87.1,80.0,5,9.69,0,3,87.18,96.42,9,3,83.92,91.07,93.71,98.4,11,2,97.12,80.59,92.78,76.01,100.0,3,5,89.19,79.2,39.21,67.01,74.48,76.37,65.9,0.0,0.836,0.03,Moderate_Development
TCH_01702,University_F,Physics,Assistant Professor,PhD,Contract,2022,Round_2,6,80.11,79.45,80.33,86.64,71.45,16.0,81.85,72.62,5,64.93,64.0,4,3.12,0,6,65.37,45.54,4,1,71.52,71.81,78.64,82.56,4,1,75.71,60.99,83.6,76.9,74.52,5,0,75.53,62.69,27.81,37.31,48.07,65.63,47.77,0.492,0.111,0.0,Improvement_Oriented
TCH_01703,University_G,Electrical Engineering,Professor,Postdoctoral,Permanent,2024,Round_1,18,94.14,89.33,89.66,92.18,93.7,19.37,90.71,93.81,16,79.16,136.0,2,8.04,0,6,92.37,79.85,10,1,100.0,76.75,76.31,80.22,6,0,88.93,73.31,95.98,93.15,81.85,9,3,82.77,85.24,45.26,61.72,53.25,73.44,62.83,0.062,0.713,0.0,Moderate_Development
TCH_01704,University_C,Computer Science,Assistant Professor,PhD,Permanent,2023,Round_1,2,93.4,88.06,97.92,98.13,99.29,13.83,97.35,82.2,11,78.63,85.0,1,13.61,2,8,94.3,89.31,6,4,94.26,89.05,89.18,90.37,5,0,85.55,85.27,96.23,96.91,91.27,4,2,95.71,88.84,44.66,66.26,59.86,87.13,66.76,0.0,0.87,0.059,Moderate_Development
TCH_01705,University_C,Chemistry,Associate Professor,PhD,Permanent,2021,Round_2,11,78.28,78.39,77.91,84.17,64.8,12.39,74.97,74.33,9,68.96,91.0,6,29.3,0,5,87.52,55.08,4,3,76.75,83.38,72.27,85.49,3,2,74.87,71.19,91.13,88.82,83.19,9,1,71.7,57.87,42.62,48.32,49.74,69.84,51.19,0.395,0.248,0.0,Improvement_Oriented
TCH_01706,University_H,Electrical Engineering,Assistant Professor,Master,Permanent,2025,Round_2,4,98.33,,89.62,95.68,84.31,8.23,98.16,85.94,12,81.11,97.0,6,20.13,2,10,87.8,54.71,12,5,77.6,80.03,84.06,77.17,3,2,78.94,89.8,93.78,93.8,88.74,7,1,98.94,86.37,52.6,62.11,55.85,84.03,66.93,0.0,0.877,0.064,Moderate_Development
TCH_01707,University_C,Mechanical Engineering,Assistant Professor,PhD,Contract,2025,Round_1,5,94.25,88.94,92.49,100.0,67.27,13.36,80.92,84.76,11,86.96,113.0,1,16.43,1,1,85.12,63.07,11,2,85.92,91.66,92.11,89.83,8,3,81.16,69.93,93.76,85.9,89.35,3,4,93.66,78.82,40.43,62.54,64.21,79.28,65.04,0.0,0.802,0.001,Moderate_Development
TCH_01708,University_F,Biotechnology,Assistant Professor,PhD,Contract,2021,Round_2,12,80.42,73.04,75.92,81.61,73.04,14.02,65.54,63.54,10,81.01,94.0,4,9.7,0,9,67.71,49.35,1,4,67.33,69.55,70.66,68.16,2,1,66.93,74.9,96.94,92.32,86.5,6,7,86.41,52.47,39.29,37.98,41.16,73.1,47.13,0.511,0.085,0.0,Improvement_Oriented
TCH_01709,University_H,Electrical Engineering,Professor,PhD,Visiting,2025,Round_1,21,90.35,88.73,98.07,83.15,85.64,13.82,85.96,85.21,13,94.95,129.0,4,21.15,0,7,99.63,69.57,10,7,94.69,96.5,100.0,99.22,5,2,100.0,85.03,93.09,100.0,86.64,1,4,92.46,78.45,52.22,76.61,71.77,84.01,72.02,0.0,0.919,0.234,Moderate_Development
TCH_01710,University_F,Computer Science,Professor,PhD,Visiting,2021,Round_2,24,98.89,87.64,,93.23,99.6,14.4,92.76,91.13,11,93.61,139.0,4,15.29,2,7,91.01,63.91,8,6,90.47,96.91,99.43,73.08,5,1,77.72,79.86,94.67,98.6,95.09,3,2,95.06,88.95,53.36,69.77,56.85,88.85,75.88,0.0,0.765,0.363,Moderate_Development
TCH_01711,University_E,Electrical Engineering,Assistant Professor,PhD,Permanent,2021,Round_2,3,84.07,81.55,82.15,91.44,83.03,17.63,81.84,83.14,7,82.46,66.0,5,5.89,1,5,85.92,66.36,4,3,69.65,81.19,82.85,77.63,6,2,76.32,85.4,88.73,82.78,76.43,8,5,79.38,71.31,38.29,47.45,57.16,62.14,54.83,0.291,0.393,0.0,Improvement_Oriented
TCH_01712,University_A,Physics,Professor,Postdoctoral,Permanent,2022,Round_1,17,86.68,78.83,83.18,87.89,90.6,19.54,84.66,65.61,9,83.7,104.0,7,49.7,0,4,78.96,75.88,7,1,81.55,69.08,89.32,85.84,7,2,93.78,69.38,91.38,80.95,76.17,3,1,88.7,68.33,49.01,48.9,62.79,75.09,61.72,0.094,0.669,0.0,Moderate_Development
TCH_01713,University_E,Biotechnology,Assistant Professor,Master,Permanent,2023,Round_1,8,70.09,,67.05,70.22,63.55,19.4,42.73,51.44,5,56.0,39.0,2,14.4,0,3,56.39,47.34,2,1,59.05,63.91,72.57,54.87,2,0,59.98,59.48,72.01,60.5,71.4,6,2,66.28,31.27,21.1,28.6,31.65,47.78,30.57,0.984,0.0,0.0,Improvement_Oriented
TCH_01714,University_E,Electrical Engineering,Associate Professor,Master,Permanent,2024,Round_1,3,80.14,,70.63,100.0,76.51,12.48,82.65,79.68,10,66.89,67.0,3,7.6,1,4,77.24,36.61,3,2,71.9,69.81,76.97,76.25,2,2,68.83,82.94,82.63,74.44,77.91,4,3,82.61,66.5,33.56,35.86,48.71,64.21,43.27,0.621,0.0,0.0,Improvement_Oriented
TCH_01715,University_F,Computer Science,Lecturer,PhD,Permanent,2025,Round_2,1,79.16,75.86,82.34,86.48,86.31,19.95,80.54,82.09,9,78.88,72.0,3,34.02,1,5,85.84,,4,0,78.49,84.65,81.41,75.93,9,2,75.72,70.04,86.5,90.51,85.87,2,2,84.61,66.97,42.88,44.58,56.0,77.37,61.26,0.107,0.65,0.0,Moderate_Development
TCH_01716,University_H,Computer Science,Professor,PhD,Contract,2022,Round_2,22,73.4,89.22,86.44,85.94,77.86,12.97,81.43,90.11,9,74.44,106.0,5,10.15,1,10,75.1,65.72,4,1,61.22,79.36,71.09,70.32,5,1,91.7,84.8,86.44,90.48,72.19,1,4,89.77,70.1,43.6,40.17,53.23,72.49,51.84,0.376,0.274,0.0,Improvement_Oriented
TCH_01717,University_H,Electrical Engineering,Lecturer,PhD,Permanent,2024,Round_1,4,83.87,83.46,81.51,84.52,66.9,11.15,74.2,70.22,7,90.63,93.0,3,14.5,1,9,75.35,58.1,5,1,96.2,86.52,92.16,84.9,6,3,77.76,66.96,94.32,92.06,86.49,3,0,84.79,61.04,42.79,53.16,59.43,83.59,55.91,0.26,0.436,0.0,Moderate_Development
TCH_01718,University_C,Management,Associate Professor,Postdoctoral,Contract,2024,Round_1,10,91.95,89.3,77.6,91.28,80.64,8.39,76.19,96.97,7,93.52,105.0,8,23.92,1,4,88.59,62.99,7,5,84.29,81.4,86.53,83.01,5,5,83.67,84.06,91.66,80.37,89.2,4,3,90.31,75.72,49.32,59.4,64.95,76.07,60.38,0.132,0.615,0.0,Moderate_Development
TCH_01719,University_B,Chemistry,Associate Professor,PhD,Permanent,2025,Round_2,12,71.76,62.41,59.25,70.74,50.09,15.76,59.59,58.96,6,50.61,77.0,3,11.24,0,2,52.71,56.6,1,0,54.79,67.4,55.44,56.56,4,0,60.43,53.83,86.6,69.88,53.56,4,6,73.14,32.06,22.67,26.73,28.52,49.75,32.12,0.939,0.0,0.0,Improvement_Oriented
TCH_01720,University_A,Education,Assistant Professor,Postdoctoral,Permanent,2025,Round_1,3,82.12,75.05,84.35,90.43,89.19,14.19,79.47,77.76,9,85.26,74.0,3,8.64,0,4,77.59,60.13,4,2,71.86,81.66,80.98,64.79,6,0,88.53,76.46,89.38,86.27,79.87,8,3,83.07,68.75,35.0,45.17,51.25,68.52,53.14,0.339,0.326,0.0,Improvement_Oriented
TCH_01721,University_F,English,Assistant Professor,PhD,Contract,2022,Round_2,10,85.32,88.33,88.21,88.44,70.21,9.0,88.41,82.87,13,82.21,87.0,6,6.49,2,6,95.37,92.77,10,0,84.23,94.01,86.63,84.14,6,3,90.95,74.81,100.0,85.85,92.19,5,3,93.41,72.97,48.3,62.73,62.76,82.64,66.29,0.0,0.852,0.043,Moderate_Development
TCH_01722,University_C,Biotechnology,Lecturer,Master,Contract,2025,Round_1,7,85.74,80.96,69.16,84.62,68.74,11.2,71.37,70.65,16,63.87,76.0,6,7.42,0,3,76.14,70.97,3,2,73.33,66.71,85.56,78.37,3,1,75.78,55.84,88.97,82.17,80.94,4,3,78.64,57.38,36.44,41.42,46.72,69.39,47.0,0.514,0.08,0.0,Improvement_Oriented
TCH_01723,University_G,Education,Associate Professor,PhD,Contract,2024,Round_1,7,79.73,55.84,68.37,75.61,63.29,20.06,47.26,57.7,5,56.04,57.0,2,3.33,0,2,63.35,51.2,5,1,58.58,64.14,47.39,48.24,1,2,53.82,68.67,79.87,74.59,63.51,8,4,76.56,36.2,20.84,33.22,26.13,51.9,30.82,0.977,0.0,0.0,Improvement_Oriented
TCH_01724,University_B,Mechanical Engineering,Assistant Professor,Postdoctoral,Contract,2025,Round_2,1,75.46,94.08,83.91,87.8,89.17,10.85,79.76,88.35,7,75.38,66.0,5,11.2,1,6,88.03,64.4,7,1,80.74,78.16,80.83,63.96,5,1,77.23,80.49,96.22,91.54,93.46,4,3,80.11,73.22,39.15,49.53,49.71,80.15,57.95,0.201,0.518,0.0,Moderate_Development
TCH_01725,University_B,Mechanical Engineering,Associate Professor,PhD,Permanent,2022,Round_2,19,90.67,91.66,89.44,97.97,75.43,15.16,89.2,92.94,7,76.2,136.0,1,26.86,0,5,81.8,79.05,12,2,91.24,94.34,96.17,90.53,6,5,99.19,84.66,97.13,93.04,97.49,2,0,97.04,82.55,40.59,69.21,74.37,93.11,70.23,0.0,0.991,0.174,Moderate_Development
TCH_01726,University_F,Computer Science,Professor,Postdoctoral,Visiting,2022,Round_1,18,85.29,93.97,90.42,95.96,100.0,13.0,89.08,84.61,17,95.27,141.0,8,13.01,1,7,86.25,74.76,14,2,83.18,95.22,87.46,95.93,2,1,85.74,85.31,95.99,79.13,90.12,1,1,91.09,83.97,57.05,68.93,59.38,83.42,70.76,0.0,0.97,0.192,Moderate_Development
TCH_01727,University_D,Mechanical Engineering,Assistant Professor,PhD,Permanent,2022,Round_2,9,82.13,80.12,85.92,88.58,86.75,13.17,83.59,90.77,13,80.45,106.0,1,10.26,0,7,82.2,68.24,8,1,78.84,83.19,86.12,85.18,5,0,77.97,65.14,91.32,88.11,85.33,5,3,92.28,73.5,40.12,52.58,51.52,76.93,57.56,0.213,0.502,0.0,Moderate_Development
TCH_01728,University_A,Management,Lecturer,PhD,Contract,2025,Round_2,1,79.52,85.4,79.26,82.36,81.21,16.89,62.33,82.84,9,78.43,75.0,2,6.51,2,3,91.48,65.87,8,0,74.58,81.69,80.18,78.41,7,1,76.29,68.42,91.31,92.38,94.69,9,3,79.71,62.02,38.38,48.37,52.33,74.33,51.91,0.374,0.276,0.0,Improvement_Oriented
TCH_01729,University_B,Chemistry,Associate Professor,PhD,Contract,2023,Round_2,9,81.21,89.41,97.09,90.37,83.65,19.66,82.87,100.0,9,88.68,100.0,5,9.56,0,5,82.02,69.25,5,3,91.48,88.7,91.92,84.7,3,2,99.96,78.51,96.73,85.81,90.33,4,4,100.0,80.7,41.09,58.4,62.54,81.92,67.36,0.0,0.894,0.079,Moderate_Development
TCH_01730,University_F,Mechanical Engineering,Professor,PhD,Permanent,2022,Round_1,18,97.11,,85.33,91.15,93.38,8.24,84.81,82.41,10,85.62,123.0,1,10.83,1,3,75.3,73.78,5,0,91.36,80.32,82.4,84.21,5,1,93.74,76.01,97.33,82.4,95.49,2,4,90.47,79.98,39.14,50.48,58.24,81.63,56.55,0.241,0.462,0.0,Moderate_Development
TCH_01731,University_F,Physics,Professor,PhD,Visiting,2023,Round_1,21,74.9,77.46,64.1,80.62,62.12,14.82,76.06,80.98,9,63.56,85.0,2,10.47,1,4,70.62,62.14,2,2,58.74,67.97,65.0,55.79,4,1,60.55,76.29,78.46,71.65,73.46,4,1,77.43,53.04,32.49,34.45,37.42,61.27,39.04,0.742,0.0,0.0,Improvement_Oriented
TCH_01732,University_C,Chemistry,Assistant Professor,Master,Visiting,2021,Round_2,6,65.76,51.39,59.45,69.27,55.56,9.68,55.22,68.24,5,33.0,37.0,2,10.71,0,3,50.79,45.28,1,2,59.0,63.45,61.27,51.59,2,0,65.6,53.33,80.84,57.37,67.35,12,4,64.64,29.5,15.27,28.74,27.92,41.17,25.01,1.0,0.0,0.0,Improvement_Oriented
TCH_01733,University_G,Management,Assistant Professor,Postdoctoral,Permanent,2022,Round_2,1,84.95,79.98,77.52,82.19,79.28,15.64,85.91,80.87,7,78.76,76.0,6,9.23,1,7,88.05,76.21,3,0,82.92,73.12,86.4,84.67,4,2,68.04,65.14,94.89,87.34,75.0,5,6,81.73,66.44,41.74,43.34,51.3,67.72,57.99,0.2,0.52,0.0,Moderate_Development
TCH_01734,University_D,Education,Professor,PhD,Contract,2023,Round_1,16,54.24,61.1,69.07,89.77,68.64,10.01,60.74,56.23,3,53.45,73.0,1,15.77,3,3,53.43,,2,1,68.45,55.59,72.22,66.82,1,1,54.37,52.73,77.52,69.4,67.98,6,4,66.14,39.18,27.51,29.84,32.28,49.23,37.43,0.788,0.0,0.0,Improvement_Oriented
TCH_01735,University_A,Chemistry,Professor,Postdoctoral,Visiting,2023,Round_2,17,81.77,88.94,75.14,86.2,79.63,19.37,82.62,89.67,13,79.01,98.0,0,6.46,0,7,85.6,54.19,9,3,82.35,87.29,83.21,78.55,5,1,92.58,72.85,92.03,90.97,76.62,3,2,81.35,69.9,38.16,57.8,56.08,75.25,61.47,0.101,0.659,0.0,Moderate_Development
TCH_01736,University_H,Chemistry,Associate Professor,PhD,Permanent,2024,Round_1,11,86.22,84.97,69.55,90.43,99.68,9.68,89.7,90.14,11,83.62,112.0,3,16.88,1,7,74.98,59.48,8,1,73.62,83.09,96.95,77.39,8,4,82.24,66.96,92.71,89.91,86.18,3,0,94.13,75.83,44.11,49.39,63.71,84.79,60.02,0.142,0.601,0.0,Moderate_Development
TCH_01737,University_E,Education,Assistant Professor,PhD,Visiting,2023,Round_1,7,91.93,93.7,80.83,93.55,95.66,9.67,88.61,85.42,10,85.04,94.0,6,20.91,0,6,68.51,75.12,6,2,87.28,72.77,83.98,83.62,8,1,96.47,77.34,82.69,79.93,89.32,5,3,88.45,81.56,42.03,52.37,62.6,70.56,59.0,0.171,0.56,0.0,Moderate_Development
TCH_01738,University_G,Management,Assistant Professor,PhD,Permanent,2024,Round_1,5,75.18,85.34,75.86,82.42,71.09,4.05,67.88,76.95,7,59.16,62.0,2,13.03,2,4,76.67,52.18,6,3,67.99,65.41,74.85,70.43,2,2,69.93,47.85,86.27,68.84,66.47,2,4,75.52,57.75,32.48,42.02,39.37,58.56,50.13,0.425,0.205,0.0,Improvement_Oriented
TCH_01739,University_G,Mechanical Engineering,Assistant Professor,PhD,Contract,2023,Round_1,1,79.07,59.63,73.84,75.03,60.15,15.82,63.37,73.93,3,67.41,48.0,2,8.7,2,5,45.59,26.81,4,3,49.6,59.06,57.27,56.97,2,1,62.33,49.11,86.9,75.47,67.28,5,3,65.78,45.46,25.44,27.17,28.13,57.31,32.92,0.917,0.0,0.0,Improvement_Oriented
TCH_01740,University_C,Computer Science,Professor,PhD,Permanent,2023,Round_1,21,82.27,62.69,75.11,83.22,68.4,23.33,69.35,70.81,7,61.61,77.0,4,8.95,0,2,58.97,50.66,4,2,65.9,64.64,68.22,63.85,4,3,77.55,58.49,80.04,75.92,76.87,1,5,74.87,52.53,26.57,36.19,43.95,60.66,41.26,0.678,0.0,0.0,Improvement_Oriented
TCH_01741,University_H,Biotechnology,Assistant Professor,Postdoctoral,Permanent,2021,Round_2,4,73.93,70.0,80.12,89.36,76.68,10.02,77.97,75.13,8,81.1,75.0,7,9.73,2,4,64.83,44.52,7,2,76.01,59.46,66.53,68.14,8,1,67.69,67.28,84.99,76.04,70.14,5,3,72.28,60.18,39.68,40.54,44.85,59.45,48.85,0.461,0.154,0.0,Improvement_Oriented
TCH_01742,University_B,Education,Associate Professor,PhD,Contract,2023,Round_2,16,76.46,77.08,82.41,80.94,69.87,6.55,64.32,85.64,6,65.76,101.0,3,11.42,1,4,79.48,57.18,8,3,84.68,82.69,69.33,72.9,2,1,79.28,82.82,85.59,82.56,83.1,6,1,74.42,58.41,35.22,56.24,46.77,68.58,50.23,0.422,0.209,0.0,Improvement_Oriented
TCH_01743,University_B,Education,Associate Professor,Postdoctoral,Permanent,2025,Round_2,11,89.99,91.63,85.54,96.14,95.4,18.11,85.38,86.21,20,76.77,96.0,4,5.32,0,8,78.37,83.91,7,1,90.22,88.37,73.51,85.74,1,0,86.32,93.39,89.44,87.08,99.08,7,2,78.86,82.04,43.94,59.18,52.37,75.99,64.3,0.02,0.772,0.0,Moderate_Development
TCH_01744,University_C,Education,Assistant Professor,Postdoctoral,Permanent,2025,Round_1,3,79.24,62.82,80.17,90.49,79.59,14.32,65.89,80.39,5,76.99,70.0,4,9.48,0,7,79.6,62.32,9,0,67.93,79.72,74.98,75.74,1,2,83.33,77.71,87.18,85.83,81.86,6,2,93.08,59.29,34.72,46.4,49.48,74.0,50.71,0.408,0.228,0.0,Improvement_Oriented
TCH_01745,University_F,Education,Assistant Professor,PhD,Permanent,2025,Round_1,3,81.3,88.2,71.86,87.53,69.29,7.91,76.22,80.19,10,74.09,96.0,4,16.06,2,7,67.34,66.82,6,1,87.34,82.13,89.04,76.25,4,0,78.38,76.41,90.38,78.57,82.55,4,4,91.24,63.24,42.21,51.92,51.6,71.65,55.14,0.282,0.406,0.0,Moderate_Development
TCH_01746,University_B,Biotechnology,Associate Professor,PhD,Permanent,2021,Round_2,14,90.83,100.0,92.87,92.71,86.3,17.61,83.88,84.46,18,74.47,128.0,3,27.41,2,7,86.42,58.74,9,0,93.33,89.98,100.0,79.53,5,3,83.29,100.0,96.8,94.61,93.68,4,1,100.0,82.62,53.37,56.84,67.68,90.05,65.25,0.0,0.81,0.008,Moderate_Development
